label_subject,label_vervar,label_var,label_turvar,label_tahun,nilai
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2001,3.72
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2002,4.07
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2003,4.42
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2004,5.74
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2005,5.48
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2006,6.2
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2007,6.9
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2008,6.39
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2009,5.07
Neraca Ekonomi,Sumatera Utara,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2010,6.42
Neraca Ekonomi,Nias,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2001,1.34
Neraca Ekonomi,Nias,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2002,4.1
Neraca Ekonomi,Nias,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2003,5.51
Neraca Ekonomi,Nias,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2004,5.13
Neraca Ekonomi,Nias,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2005,-3.33
Neraca Ekonomi,Nias,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2006,4.65
Neraca Ekonomi,Nias,[Seri 2000]Pertumbuhan Ekonomi Atas Dasar Harga Konstan 2000 Menurut Kabupaten/Kota,-,2007,6.74
